CV_GROUP_V4,TRUE_LABEL,n_samples,accuracy,mean_max_probability,mean_entropy,mean_element_coverage,publication_year,database
PAPER|GEOROC|CITATION_ID|1665,OPB,73,1.0,0.9833014093150685,0.09375085993150685,17.315068493150687,1993.0,GEOROC
PAPER|GEOROC|CITATION_ID|16704,OIB,4,0.75,0.9225828125,0.3313104625,14.5,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|16897,IAB,1,0.0,0.37815776,1.3532639,19.0,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|16898,OIB,2,1.0,0.938818135,0.282329105,10.0,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|16975,OIB,8,0.625,0.952297825,0.227011059625,19.0,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|17004,IAB,22,1.0,0.9491452022727273,0.22787078754545453,18.5,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|17201,OIB,43,1.0,0.8511319293023256,0.48742181309302324,18.837209302325583,1996.0,GEOROC
PAPER|GEOROC|CITATION_ID|17313,CFB,26,1.0,0.9538856223076924,0.16392542623076922,19.0,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|17427,OIB,27,0.9629629629629629,0.9332725533333333,0.264739958,16.77777777777778,1989.0,GEOROC
PAPER|GEOROC|CITATION_ID|17455,CFB,6,0.8333333333333334,0.887350905,0.37988983233333334,19.0,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|1749,CFB,4,0.25,0.6081677125,1.0462876,10.0,1976.0,GEOROC
PAPER|GEOROC|CITATION_ID|1760,CFB,11,0.6363636363636364,0.6533039718181818,0.7860356790909091,14.0,1998.0,GEOROC
PAPER|GEOROC|CITATION_ID|17633,CFB,76,0.8421052631578947,0.8172910001315788,0.5471685943421052,16.55263157894737,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|17634,OIB,12,1.0,0.9178673316666667,0.31972992833333336,17.333333333333332,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|17663,OIB,14,0.9285714285714286,0.8576284428571429,0.405585544,10.0,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|17677,CFB,57,1.0,0.9920415003508772,0.048164794947368424,18.0,2013.0,GEOROC
PAPER|GEOROC|CITATION_ID|177,OIB,11,1.0,0.9792981627272727,0.107718268,14.272727272727273,1987.0,GEOROC
PAPER|GEOROC|CITATION_ID|1770,CFB,3,0.6666666666666666,0.6389983,1.0548007533333335,15.666666666666666,1972.0,GEOROC
PAPER|GEOROC|CITATION_ID|18035,CAB,6,0.6666666666666666,0.5978485050000001,1.142263305,10.0,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18071,CFB,113,0.9026548672566371,0.8236225683185842,0.5485000895371681,15.017699115044248,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18072,IOAB,33,0.7575757575757576,0.7338939824242424,0.8039038353333333,18.848484848484848,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18211,CFB,13,1.0,0.7033771461538462,0.8499689546153846,19.0,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18214,CFB,104,0.8846153846153846,0.8999819960576924,0.3245539330125,17.634615384615383,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18221,IAB,5,1.0,0.930186486,0.34059114999999995,10.0,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18365,CAB,11,1.0,0.932327650909091,0.20085108954545455,19.0,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18469,OIB,17,1.0,0.9573296847058823,0.17513149729411764,19.0,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|1864,CFB,3,0.6666666666666666,0.6240354133333333,0.8585920166666666,10.0,1981.0,GEOROC
PAPER|GEOROC|CITATION_ID|1872,CFB,6,0.5,0.5341281216666667,1.2525986833333334,10.0,1978.0,GEOROC
PAPER|GEOROC|CITATION_ID|18767,OIB,62,0.9193548387096774,0.8972364130645161,0.300409988,17.983870967741936,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|18792,CFB,11,0.9090909090909091,0.8771329554545454,0.36425308000000006,17.727272727272727,1997.0,GEOROC
PAPER|GEOROC|CITATION_ID|18933,CFB,6,0.0,0.63458861,0.90409847,19.0,1981.0,GEOROC
PAPER|GEOROC|CITATION_ID|19017,CFB,19,1.0,0.9966734768421052,0.023273015373684213,17.0,2014.0,GEOROC
PAPER|GEOROC|CITATION_ID|1902,CFB,14,0.7857142857142857,0.836109815,0.4491889278571429,17.0,1988.0,GEOROC
PAPER|GEOROC|CITATION_ID|19047,CFB,30,0.9666666666666667,0.9079039243333333,0.3135975072,16.9,1987.0,GEOROC
PAPER|GEOROC|CITATION_ID|1905,CFB,16,0.75,0.78395550875,0.5004782814375,17.375,1988.0,GEOROC
PAPER|GEOROC|CITATION_ID|19104,OPB,215,0.31627906976744186,0.7282329272093022,0.803525716372093,17.837209302325583,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|19127,CFB,7,0.7142857142857143,0.7679323085714286,0.6418838712857143,16.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|19150,CFB,1,1.0,0.40860358,1.2822827,18.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|19324,CAB,1,0.0,0.7810898,0.61271024,19.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|19381,IAB,19,0.7368421052631579,0.8160235531578948,0.558366064736842,19.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|1943,CFB,18,0.9444444444444444,0.8300901961111111,0.5369435761111112,16.0,1983.0,GEOROC
PAPER|GEOROC|CITATION_ID|1943,MORB,7,0.5714285714285714,0.7185609700000001,0.7299486000000001,16.0,1983.0,GEOROC
PAPER|GEOROC|CITATION_ID|19483,OIB,10,0.5,0.590381318,0.961518513,10.0,2006.0,GEOROC
PAPER|GEOROC|CITATION_ID|19680,OIB,27,0.48148148148148145,0.612702607037037,0.9443619570370371,18.62962962962963,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|1975,CFB,39,0.9230769230769231,0.9007439243589743,0.26945734475897437,18.333333333333332,1994.0,GEOROC
PAPER|GEOROC|CITATION_ID|19773,CAB,8,0.5,0.76332290375,0.67452604875,19.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|1978,CFB,5,1.0,0.9035493800000001,0.2828817516,19.0,1994.0,GEOROC
PAPER|GEOROC|CITATION_ID|19784,OPB,1,0.0,0.55367947,1.0871354,15.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|198,OIB,11,0.7272727272727273,0.7581915590909091,0.5477894501818182,18.545454545454547,1994.0,GEOROC
PAPER|GEOROC|CITATION_ID|19818,OIB,16,1.0,0.9918014631250001,0.05214592125,19.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|19928,IAB,7,0.5714285714285714,0.7568455242857143,0.6757577028571429,19.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|19989,IAB,77,0.922077922077922,0.8425003375324676,0.4780431036103896,17.0,2015.0,GEOROC
PAPER|GEOROC|CITATION_ID|20054,CFB,11,0.6363636363636364,0.6433479181818181,0.8987575054545455,19.0,2016.0,GEOROC
PAPER|GEOROC|CITATION_ID|2009,OPB,15,0.13333333333333333,0.5296013846666666,1.0766267386666668,10.0,1977.0,GEOROC
PAPER|GEOROC|CITATION_ID|20128,CFB,24,0.4166666666666667,0.5093387070833334,1.1888669358333332,15.0,2016.0,GEOROC
PAPER|GEOROC|CITATION_ID|20175,CFB,9,0.7777777777777778,0.8074002222222222,0.5678291966666666,19.0,2016.0,GEOROC
PAPER|GEOROC|CITATION_ID|20187,CFB,10,1.0,0.988822077,0.06185171410000001,19.0,2016.0,GEOROC
PAPER|GEOROC|CITATION_ID|2026,OIB,2,0.5,0.48188777,1.016668,10.0,1966.0,GEOROC
PAPER|GEOROC|CITATION_ID|20470,IAB,11,0.9090909090909091,0.8933723009090909,0.305422595,17.363636363636363,2016.0,GEOROC
PAPER|GEOROC|CITATION_ID|20505,OIB,37,0.40540540540540543,0.7095685840540541,0.7625673091891892,18.756756756756758,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|20594,IAB,15,1.0,0.973518978,0.12944563026666667,10.0,2016.0,GEOROC
