class,feature,bin,x_median,x_min,x_max,shap_median,shap_mean,shap_q25,shap_q75,n
OIB,CAO(WT%),1,6.35,0.3,7.0,-0.5402160882949829,-0.5039188861846924,-0.6413186192512512,-0.3952116370201111,673
OIB,CAO(WT%),2,7.62,7.01,8.09,-0.5321311354637146,-0.5319000482559204,-0.6483330726623535,-0.4125455617904663,670
OIB,CAO(WT%),3,8.38,8.096,8.58,-0.5138701796531677,-0.5140053629875183,-0.5882383584976196,-0.43871983885765076,675
OIB,CAO(WT%),4,8.8,8.59,9.01,-0.456681489944458,-0.46308258175849915,-0.5321942567825317,-0.389739453792572,683
OIB,CAO(WT%),5,9.21,9.02,9.4,-0.3571119010448456,-0.3565254509449005,-0.4375019967556,-0.28446927666664124,661
OIB,CAO(WT%),6,9.58,9.4023,9.74,-0.24503794312477112,-0.23170070350170135,-0.31317198276519775,-0.14104431867599487,682
OIB,CAO(WT%),7,9.89,9.74075544291428,10.02,-0.14949575066566467,-0.14344222843647003,-0.2357379049062729,-0.042863912880420685,658
OIB,CAO(WT%),8,10.16538546119695,10.0241304023237,10.3,-0.004767572972923517,-0.025627821683883667,-0.16184446215629578,0.09718722850084305,696
OIB,CAO(WT%),9,10.43,10.302777,10.55,0.03668642044067383,0.010333072394132614,-0.14634782075881958,0.14275933802127838,665
OIB,CAO(WT%),10,10.67,10.5515357971782,10.79,0.06062392517924309,0.03802342712879181,-0.120143823325634,0.17689654231071472,669
OIB,CAO(WT%),11,10.9,10.7953271218577,11.03,0.11252397298812866,0.08510202914476395,-0.07807322591543198,0.2313404381275177,656
OIB,CAO(WT%),12,11.17,11.04,11.3,0.20035219192504883,0.21187354624271393,0.03972932696342468,0.3760521709918976,671
OIB,CAO(WT%),13,11.5,11.30448,11.67,0.21714796125888824,0.24160487949848175,0.057573869824409485,0.4124143719673157,678
OIB,CAO(WT%),14,11.91,11.6759327621143,12.19639,0.30754923820495605,0.3244019150733948,0.16494359076023102,0.46899786591529846,664
OIB,CAO(WT%),15,12.7375,12.198466304403,19.05,0.7812044620513916,0.8325778245925903,0.6102250218391418,1.0149402618408203,672
OPB,P2O5(WT%),1,0.07,0.0,0.08701,0.42949602007865906,0.45199742913246155,0.3103671371936798,0.5636733770370483,662
OPB,P2O5(WT%),2,0.1,0.0872,0.11,0.437950074672699,0.4545647203922272,0.32918214797973633,0.5653493404388428,708
OPB,P2O5(WT%),3,0.13,0.110006796127411,0.14,0.36544814705848694,0.39192700386047363,0.2668716013431549,0.4942895770072937,801
OPB,P2O5(WT%),4,0.15,0.14001400140014,0.16,0.007162825204432011,0.006841401103883982,-0.05539298430085182,0.0639839619398117,670
OPB,P2O5(WT%),5,0.17,0.160304578699529,0.18,0.004161400720477104,0.008052773773670197,-0.06741680949926376,0.08622382581233978,550
OPB,P2O5(WT%),6,0.2,0.180831826401447,0.209,-0.13177897036075592,-0.12716856598854065,-0.2611873745918274,0.024272970855236053,582
OPB,P2O5(WT%),7,0.22,0.21,0.231822493975331,-0.48434117436408997,-0.4807606637477875,-0.6367051601409912,-0.3129716217517853,661
OPB,P2O5(WT%),8,0.25,0.232,0.263,-0.5808919072151184,-0.5810943841934204,-0.728596568107605,-0.4457175135612488,671
OPB,P2O5(WT%),9,0.28,0.26358974403794,0.3,-0.6527494788169861,-0.6527093648910522,-0.7692245244979858,-0.5064831972122192,739
OPB,P2O5(WT%),10,0.32,0.30002,0.34,-0.7114248275756836,-0.7230017185211182,-0.8217997550964355,-0.5983952879905701,602
OPB,P2O5(WT%),11,0.37,0.34088,0.4,-0.8219515085220337,-0.8448801636695862,-1.0197662115097046,-0.6586581468582153,720
OPB,P2O5(WT%),12,0.4382237596490945,0.400849955372859,0.475,-1.8923428058624268,-1.8688994646072388,-2.057807445526123,-1.6945065259933472,580
OPB,P2O5(WT%),13,0.52,0.476,0.57,-2.283271074295044,-2.308830976486206,-2.504138708114624,-2.123188018798828,671
OPB,P2O5(WT%),14,0.65,0.571,0.754,-2.299196720123291,-2.320711135864258,-2.486997365951538,-2.121779441833496,650
OPB,P2O5(WT%),15,0.9484999999999999,0.756,5.46,-2.177682876586914,-2.148782968521118,-2.4704983234405518,-1.7866371870040894,662
