PAPER_ID,DATABASE,CV_GROUP_V4,PAPER_DOI,CITATION,PAPER_FIRST_AUTHOR,PAPER_YEAR,N_SAMPLES
PAPER|GEOROC|CITATION_ID|18443,GEOROC,PAPER|GEOROC|CITATION_ID|18443,,[18443] GODOY B. (2014),GODOY,2014,2
PAPER|GEOROC|CITATION_ID|18469,GEOROC,PAPER|GEOROC|CITATION_ID|18469,,[18469] GUILLOU H. (2014),GUILLOU,2014,17
PAPER|GEOROC|CITATION_ID|18070,GEOROC,PAPER|GEOROC|CITATION_ID|18070,,[18070] HERNANDO I. R. (2014),HERNANDO,2014,14
PAPER|GEOROC|CITATION_ID|18437,GEOROC,PAPER|GEOROC|CITATION_ID|18437,,[18437] HERZBERG C. T. (2014),HERZBERG,2014,4
PAPER|PETDB|CITATION_SHA1|f9f3dfe02722bf80,PetDB,PAPER|PETDB|CITATION_SHA1|f9f3dfe02722bf80,,"Hildenbrand, A., Weis, D., ... Marques, A. F. A. (2014). RECENT PLATE RE-ORGANIZATION AT THE AZORES TRIPLE JUNCTION: EVIDENCE FROM COMBINED GEOCHEMICAL AND GEOCHRONOLOGICAL DATA ON FAIAL, S. JORGE AND TERCEIRA VOLCANIC ISLANDS. LITHOS, 210-211, 39.",HILDENBRAND,2014,21
PAPER|GEOROC|CITATION_ID|18958,GEOROC,PAPER|GEOROC|CITATION_ID|18958,,[18958] HUANG HU(2014)  [GeoReM [8380] ],HUANG,2014,18
PAPER|GEOROC|CITATION_ID|18365,GEOROC,PAPER|GEOROC|CITATION_ID|18365,,[18365] JACQUES G.(2014)  [GeoReM [8014] ],JACQUES,2014,11
PAPER|GEOROC|CITATION_ID|18335,GEOROC,PAPER|GEOROC|CITATION_ID|18335,,[18335] KENDRICK M. A.(2014)  [GeoReM [8015] ],KENDRICK,2014,1
PAPER|GEOROC|CITATION_ID|18366,GEOROC,PAPER|GEOROC|CITATION_ID|18366,,[18366] KIPF A. (2014),KIPF,2014,6
PAPER|GEOROC|CITATION_ID|18403,GEOROC,PAPER|GEOROC|CITATION_ID|18403,,[18403] KRISHNAMURTHY P. (2014),KRISHNAMURTHY,2014,14
PAPER|GEOROC|CITATION_ID|18221,GEOROC,PAPER|GEOROC|CITATION_ID|18221,,[18221] KURITANI T. (2014),KURITANI,2014,5
PAPER|PETDB|CITATION_SHA1|4635a8dff0fdbdfb,PetDB,PAPER|PETDB|CITATION_SHA1|4635a8dff0fdbdfb,,"Lissner, M., Koenig, S., ... Le Roex, A. P. (2014). SELENIUM AND TELLURIUM SYSTEMATICS IN MORBS FROM THE SOUTHERN MID-ATLANTIC RIDGE (47–50°S). GEOCHIM COSMOCHIM ACTA, 144, 402.",LISSNER,2014,20
PAPER|GEOROC|CITATION_ID|18369,GEOROC,PAPER|GEOROC|CITATION_ID|18369,,[18369] LIU DONGDONG(2014)  [GeoReM [8469] ],LIU,2014,4
PAPER|PETDB|CITATION_SHA1|0cef6bab12e930aa,PetDB,PAPER|PETDB|CITATION_SHA1|0cef6bab12e930aa,,"Machida, S., Orihashi, Y., ... Tamaki, K. (2014). REGIONAL MANTLE HETEROGENEITY REGULATES MELT PRODUCTION ALONG THE REUNION HOTSPOT-INFLUENCED CENTRAL INDIAN RIDGE. GEOCHEM J, 48, 17.",MACHIDA,2014,8
