accuracy,balanced_accuracy,macro_f1,weighted_f1
0.8187305652094384,0.714980895154936,0.7091572766271426,0.8181286459191677
0.8288267288267288,0.725143052955187,0.6565653913161573,0.8340826311655107
0.8201943303616147,0.7253473797906242,0.6979585545974311,0.8224366814170965
0.8250961010433827,0.6935102695102503,0.6872076353951149,0.8260770440513193
0.8279969650986343,0.6657923252774797,0.645289373104087,0.8285165664845244
0.8476034091797638,0.698855791279511,0.6781167539292109,0.8501841661641394
0.8233717502010185,0.7189948387174877,0.714143395833845,0.8218509784104985
0.8283882082695253,0.7296942554713068,0.649959163731114,0.8347454230595203
0.8158151326053042,0.6617047040928672,0.6334053304764379,0.8235805226020151
0.8224774261418427,0.7061699468883496,0.7005342073849554,0.8206187525650251
0.8302112736292875,0.7095247887642977,0.7243435384470724,0.8248397001264027
0.8286716431333753,0.7087972972105607,0.6803203531087142,0.8353037665443369
0.8437589876330169,0.7265865096872439,0.7216893930200852,0.8442839221441443
0.8307805717093947,0.7037469720965857,0.6676171358102252,0.8311084897757162
0.8149475300742257,0.69604530086681,0.6952235566481848,0.8170844899261548
0.8379450047409706,0.6917836107333839,0.6554029030337949,0.8408808310643736
0.859616985845129,0.6891628656675433,0.6807112690026811,0.8617607404925516
0.8363447739258235,0.7169378453243929,0.6921050395450385,0.8368307081918981
0.8345717637856863,0.6714276362195557,0.655122823774904,0.8382910631372021
0.8615611192930781,0.773978226332738,0.6949518899228044,0.8663727742039699
0.8440428380187416,0.6844542014383224,0.6453030049387793,0.8498205194597345
0.8402061855670103,0.704173183209119,0.684244890928285,0.8432698973513338
0.8206771080525234,0.659166659639605,0.6647940119801745,0.8194949271308968
0.8478465299981193,0.7133920963716853,0.6861840837733826,0.8490913785134155
0.8310551758626438,0.6940570538738529,0.6930165489619273,0.8292468422333183
0.8121542531868837,0.7131494108410079,0.680813418204444,0.808384368337819
0.8686391449151886,0.757421738720706,0.6974716240849047,0.8747290933228636
0.7841700256504214,0.6776632670683346,0.6651877351521619,0.7867492697380699
0.8373229939312204,0.7121117587851741,0.6920199635371271,0.8384507890592575
0.8547008547008547,0.7677237124400683,0.7096320619405884,0.8598124790625955
0.8379647448233393,0.7163398122010218,0.6676464845675323,0.843753522743285
0.8335307517084283,0.7206724534474559,0.6993182557197302,0.8367352560156794
0.8002958579881657,0.7038023672332232,0.6894998189661847,0.7993815171140064
