subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,config_id,fold,n_train,n_valid,n_train_publications,n_valid_publications,n_features,completeness_threshold,selected_features,best_iteration,accuracy,balanced_accuracy,macro_f1,weighted_f1
1.0,2.0,0.1,3,4,0.08,0.9,9,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),975,0.8416773144383785,0.7514047992695909,0.7515065130880909,0.8418713280929141
1.0,2.0,0.1,3,4,0.08,0.9,9,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),957,0.8186909345467274,0.6709850948427395,0.6575162335385302,0.8163092561638995
1.0,2.0,0.1,3,4,0.08,0.9,9,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),854,0.7981014968966776,0.6665407871461413,0.6724944286059091,0.7978952143458374
1.0,2.0,0.1,3,4,0.08,0.9,9,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),742,0.7943278764122665,0.7195174751327114,0.7045220102540796,0.7953510531611784
1.0,1.0,0.5,3,8,0.02,0.9,10,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1108,0.8448135671971193,0.731456436283449,0.7405423893670073,0.8440604415554926
1.0,1.0,0.5,3,8,0.02,0.9,10,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),866,0.8310582195776456,0.6724811856660866,0.6682345007286106,0.8268086235892421
1.0,1.0,0.5,3,8,0.02,0.9,10,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),822,0.80065717415115,0.65332792638203,0.6696217528228731,0.7989748759797213
1.0,1.0,0.5,3,8,0.02,0.9,10,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),753,0.8066635923449389,0.7277376924362231,0.7254377752626343,0.8049830888509559
1.0,2.0,0.1,5,5,0.02,1.0,11,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1793,0.8420257869671274,0.750725609332711,0.7457052942458553,0.8429890035959107
1.0,2.0,0.1,5,5,0.02,1.0,11,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1779,0.8160074670400187,0.6706254623603622,0.6520571856073971,0.8144620126016071
1.0,2.0,0.1,5,5,0.02,1.0,11,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.7940854326396495,0.6744804827338442,0.6715442952451669,0.7948006528123965
1.0,2.0,0.1,5,5,0.02,1.0,11,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1794,0.801129813234955,0.7268475271641568,0.7184251556799712,0.801491040777247
0.9,1.0,0.0,5,5,0.05,0.8,12,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1187,0.85027297014752,0.745791705384274,0.7524745112080798,0.8499086190423443
0.9,1.0,0.0,5,5,0.05,0.8,12,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),941,0.8251079220627698,0.6719597995654033,0.6582462205494148,0.8211248915775167
0.9,1.0,0.0,5,5,0.05,0.8,12,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),837,0.8026043568212243,0.6710362040112263,0.6773092412865008,0.8020734811781501
0.9,1.0,0.0,5,5,0.05,0.8,12,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),775,0.8086234724463915,0.7332553064684553,0.7253574686114982,0.8085186538443833
